,region,normT2star
0,AMY-CL-lh,2.799154758453369
1,AMY-CL-rh,2.585946559906006
2,AMY-SM-lh,2.458305835723877
3,AMY-SM-rh,2.1596033573150635
4,CAU-DA-lh,2.612048625946045
5,CAU-DA-rh,2.515282392501831
6,CAU-VA-lh,2.6086935997009277
7,CAU-VA-rh,2.39491868019104
8,HIP-body-l-lh,2.5748789310455322
9,HIP-body-l-rh,2.6293625831604004
10,HIP-body-m-lh,2.701040744781494
11,HIP-body-m-rh,2.6962409019470215
12,HIP-head-l-lh,2.9360554218292236
13,HIP-head-l-rh,2.83599853515625
14,HIP-head-m-lh,3.0655357837677
15,HIP-head-m-rh,2.648360252380371
16,HIP-tail-lh,2.784578561782837
17,HIP-tail-rh,2.825347900390625
18,NAc-core-lh,2.4108591079711914
19,NAc-core-rh,2.3762550354003906
20,NAc-shell-lh,2.25996732711792
21,NAc-shell-rh,2.198678970336914
22,PUT-DA-lh,2.4103002548217773
23,PUT-DA-rh,2.406933069229126
24,PUT-DP-lh,2.5638222694396973
25,PUT-DP-rh,2.4944448471069336
26,PUT-VA-lh,2.2836625576019287
27,PUT-VA-rh,2.2995262145996094
28,PUT-VP-lh,2.570732593536377
29,PUT-VP-rh,2.5983998775482178
30,THA-DAl-lh,2.4642882347106934
31,THA-DAl-rh,2.3718104362487793
32,THA-DAm-lh,2.585395574569702
33,THA-DAm-rh,2.474756956100464
34,THA-DPl-lh,2.5771024227142334
35,THA-DPl-rh,2.3702964782714844
36,THA-DPm-lh,2.639944076538086
37,THA-DPm-rh,2.6670680046081543
38,THA-VAi-lh,2.4551310539245605
39,THA-VAi-rh,2.435420513153076
40,THA-VAs-lh,2.4061779975891113
41,THA-VAs-rh,2.3664567470550537
42,THA-VPl-lh,2.475008010864258
43,THA-VPl-rh,2.3547708988189697
44,THA-VPm-lh,2.6154284477233887
45,THA-VPm-rh,2.2744312286376953
46,aGP-lh,1.7135341167449951
47,aGP-rh,1.6572915315628052
48,lAMY-lh,2.925551652908325
49,lAMY-rh,2.519016742706299
50,pCAU-lh,2.590318202972412
51,pCAU-rh,2.3839385509490967
52,pGP-lh,1.9030672311782837
53,pGP-rh,1.7829734086990356
